PicamParameter,Type,Constraint,Num,EnumVal
FrameSize,Integer,None,42,16842794
FrameStride,Integer,None,43,16842795
FramesPerReadout,Integer,None,44,16842796
ReadoutStride,Integer,None,45,16842797
PixelBitDepth,Integer,None,48,16842800
SensorSecondaryMaskedHeight,Integer,None,49,16842801
SensorActiveWidth,Integer,None,59,16842811
SensorActiveHeight,Integer,None,60,16842812
SensorActiveLeftMargin,Integer,None,61,16842813
SensorActiveTopMargin,Integer,None,62,16842814
SensorActiveRightMargin,Integer,None,63,16842815
SensorActiveBottomMargin,Integer,None,64,16842816
SensorMaskedHeight,Integer,None,65,16842817
SensorMaskedTopMargin,Integer,None,66,16842818
SensorMaskedBottomMargin,Integer,None,67,16842819
SensorSecondaryActiveHeight,Integer,None,74,16842826
SensorActiveExtendedHeight,Integer,None,159,16842911
ApplicableStarDefectMapID,Integer,None,166,16842918
PixelWidth,FloatingPoint,None,9,16908297
PixelHeight,FloatingPoint,None,10,16908298
PixelGapWidth,FloatingPoint,None,11,16908299
PixelGapHeight,FloatingPoint,None,12,16908300
SensorTemperatureReading,FloatingPoint,None,15,16908303
ReadoutTimeCalculation,FloatingPoint,None,27,16908315
ReadoutRateCalculation,FloatingPoint,None,50,16908338
FrameRateCalculation,FloatingPoint,None,51,16908339
OnlineReadoutRateCalculation,FloatingPoint,None,99,16908387
IntensifierDiameter,FloatingPoint,None,110,16908398
Age,FloatingPoint,None,135,16908423
LifeExpectancy,FloatingPoint,None,136,16908424
CenterWavelengthReading,FloatingPoint,None,141,16908429
GratingGrooveDensity,FloatingPoint,None,144,16908432
GratingBlazingWavelength,FloatingPoint,None,145,16908433
FocalLength,FloatingPoint,None,146,16908434
InclusionAngle,FloatingPoint,None,147,16908435
SensorAngle,FloatingPoint,None,148,16908436
SensorTemperatureStatus,Enumeration,None,16,17039376
Orientation,Enumeration,None,38,17039398
ReadoutOrientation,Enumeration,None,54,17039414
SensorType,Enumeration,None,57,17039417
CcdCharacteristics,Enumeration,None,58,17039418
IntensifierStatus,Enumeration,None,87,17039447
IntensifierOptions,Enumeration,None,101,17039461
PhotocathodeSensitivity,Enumeration,None,107,17039467
GatingSpeed,Enumeration,None,108,17039468
PhosphorType,Enumeration,None,109,17039469
LightSourceStatus,Enumeration,None,134,17039494
InternalShutterType,Enumeration,None,139,17039499
GratingType,Enumeration,None,142,17039502
GratingCoating,Enumeration,None,143,17039503
CenterWavelengthStatus,Enumeration,None,149,17039509
ExternalShutterType,Enumeration,None,152,17039512
InternalShutterStatus,Enumeration,None,153,17039513
ExternalShutterStatus,Enumeration,None,154,17039514
InactiveShutterTimingModeResult,Enumeration,None,156,17039516
LaserStatus,Enumeration,None,157,17039517
